model,train_source,PhiUSIIL,PhishTank+Tranco,LOSO
B1,PhiUSIIL,0.9974113333333332,0.9821264444444444,0.9821264444444444
B1,PhishTank+Tranco,0.9401217777777776,0.9984804444444444,0.9401217777777776
B2,PhiUSIIL,0.9972162222222224,0.9839955555555556,0.9839955555555556
B2,PhishTank+Tranco,0.9291633333333332,0.9983468888888888,0.9291633333333332
B3,PhiUSIIL,0.9968648888888888,0.7638308888888888,0.7638308888888888
B3,PhishTank+Tranco,0.9612013333333332,0.9986602222222222,0.9612013333333332
B4,PhiUSIIL,0.9971648888888888,0.9848942222222222,0.9848942222222222
B4,PhishTank+Tranco,0.9321091111111112,0.9982993333333332,0.9321091111111112
B5,PhiUSIIL,0.9988,0.9905,0.9905
B5,PhishTank+Tranco,0.9877,0.9985,0.9877
