model,train_source,test_source,auc,ci_lo,ci_hi,in_distribution
B1,PhiUSIIL,PhiUSIIL,0.9974113333333332,0.9951743887023744,0.9991309490056954,True
B1,PhiUSIIL,PhishTank+Tranco,0.9821264444444444,0.9756892253455748,0.987345628431499,False
B2,PhiUSIIL,PhiUSIIL,0.9972162222222224,0.9948983814189468,0.9989713220891256,True
B2,PhiUSIIL,PhishTank+Tranco,0.9839955555555556,0.9782988804688592,0.9886404270703992,False
B3,PhiUSIIL,PhiUSIIL,0.9968648888888888,0.9941773010429412,0.999032901213396,True
B3,PhiUSIIL,PhishTank+Tranco,0.7638308888888888,0.74549227775339,0.7803797408351175,False
B4,PhiUSIIL,PhiUSIIL,0.9971648888888888,0.9947511435237164,0.9990166886885056,True
B4,PhiUSIIL,PhishTank+Tranco,0.9848942222222222,0.9792327177737512,0.9894104776738656,False
B1,PhishTank+Tranco,PhiUSIIL,0.9401217777777776,0.9312059346942964,0.9479552020774646,False
B1,PhishTank+Tranco,PhishTank+Tranco,0.9984804444444444,0.996825137590526,0.9997204733053506,True
B2,PhishTank+Tranco,PhiUSIIL,0.9291633333333332,0.9190007642620636,0.9378721667063354,False
B2,PhishTank+Tranco,PhishTank+Tranco,0.9983468888888888,0.996966703031881,0.999442020861182,True
B3,PhishTank+Tranco,PhiUSIIL,0.9612013333333332,0.9533122922339172,0.9681561444569352,False
B3,PhishTank+Tranco,PhishTank+Tranco,0.9986602222222222,0.9971790894985108,0.9997187145090956,True
B4,PhishTank+Tranco,PhiUSIIL,0.9321091111111112,0.9222491550011817,0.9405576213549076,False
B4,PhishTank+Tranco,PhishTank+Tranco,0.9982993333333332,0.9969239670412688,0.9994041915263594,True
B5,PhiUSIIL,PhiUSIIL,0.9988,,,True
B5,PhiUSIIL,PhishTank+Tranco,0.9905,,,False
B5,PhishTank+Tranco,PhiUSIIL,0.9877,,,False
B5,PhishTank+Tranco,PhishTank+Tranco,0.9985,,,True
