model,test,auc,ci_lo,ci_hi
B1,random,0.9998086666666668,0.9994829648629384,1.0
B1,+1mo,0.9975060449050086,0.9920315309019556,1.0
B1,+3mo,0.9989993069993072,0.9968455255064896,1.0
B1,+6mo,0.999367982034007,0.9982697779343516,1.0
B1,+12mo,0.9969252666666666,0.9961012617025438,0.9976710627201966
B2,random,0.9997326666666666,0.999294743195198,1.0
B2,+1mo,0.9984209844559584,0.9949542467026284,1.0
B2,+3mo,0.999366424116424,0.9979922437542886,1.0
B2,+6mo,0.9989704844401668,0.9975424461135496,1.0
B2,+12mo,0.9952970166666666,0.9941818275727656,0.9962530366626482
B3,random,0.9998203333333332,0.9995478787255966,1.0
B3,+1mo,0.997821243523316,0.9930442724341852,1.0
B3,+3mo,0.9991257796257796,0.997266183262381,1.0
B3,+6mo,0.9994096888033366,0.9984165064303276,0.9999988720658196
B3,+12mo,0.9956064833333332,0.9946075940630296,0.9964766591133444
B4,random,0.9997438333333332,0.9993140019619974,1.0
B4,+1mo,0.9983000863557858,0.994551211573458,1.0
B4,+3mo,0.999317914067914,0.9978324625687964,1.0
B4,+6mo,0.998958373435996,0.9975566500506828,1.0
B4,+12mo,0.9955,0.9944171562651206,0.9964294773317102
B5,random,0.9997,,
B5,+1mo,0.9984,,
B5,+3mo,0.9993,,
B5,+6mo,0.9997,,
B5,+12mo,0.9981,,
