model,prevalence,tpr,n_phish,fpr,fp,n_legit,fpr_ci_lo,fpr_ci_hi,precision,precision_ci_lo,precision_ci_hi,alerts_per_1e6_urls
v0,0.01,0.9894106813996317,52128,0.010609280345079134,2676,252232,0.010216830549522294,0.011016637168730798,0.4850695705760586,0.4756650031076573,0.4944885307689053,20397.29435562466
v0,0.001,0.9894106813996317,52128,0.010609280345079134,2676,252232,0.010216830549522294,0.011016637168730798,0.08538174851327264,0.08248504433489806,0.08837160817251541,11588.081746133688
v0,0.0001,0.9894106813996317,52128,0.010609280345079134,2676,252232,0.010216830549522294,0.011016637168730798,0.009240644919525315,0.008901999791780323,0.009592192614190602,10707.16048518459
v1,0.01,0.9895833333333334,52128,0.011326873671857654,2857,252232,0.010921264401145714,0.011747368112497814,0.46878714665340304,0.4597211969557032,0.4778775471324524,21109.43826847241
v1,0.001,0.9895833333333334,52128,0.011326873671857654,2857,252232,0.010921264401145714,0.011747368112497814,0.08042038749338805,0.07776561596100894,0.0831587771421629,12305.13013151913
v1,0.0001,0.9895833333333334,52128,0.011326873671857654,2857,252232,0.010921264401145714,0.011747368112497814,0.008661788864670367,0.00835433228415117,0.008980593556186635,11424.699317823803
v2,0.01,0.9901588397790055,52128,0.015152716546671318,3822,252232,0.014683302827014204,0.015636898899622567,0.39760979621084613,0.39010094734712547,0.4051708330571997,24902.777778994663
v2,0.001,0.9901588397790055,52128,0.015152716546671318,3822,252232,0.014683302827014204,0.015636898899622567,0.06139483298697626,0.05960711303904848,0.0632334666705257,16127.722669903651
v2,0.0001,0.9901588397790055,52128,0.015152716546671318,3822,252232,0.014683302827014204,0.015636898899622567,0.006492752394643847,0.006292975375227275,0.006698930131051656,15250.217158994552
v3_cascade,0.01,0.9913865868631062,52128,0.00322322306448032,813,252232,0.003009453763377195,0.003452124375801897,0.7565031876132676,0.7436439201208169,0.7689205606870725,13104.856702466579
v3_cascade,0.001,0.9913865868631062,52128,0.00322322306448032,813,252232,0.003009453763377195,0.003452124375801897,0.23540622636908032,0.22328230840407,0.2479811208965248,4211.386428278946
v3_cascade,0.0001,0.9913865868631062,52128,0.00322322306448032,813,252232,0.003009453763377195,0.003452124375801897,0.029842710071602538,0.02791916446803571,0.03189490413941909,3322.0394008601825
b7_or_gate,0.01,0.993439226519337,52128,0.10969662850074535,27669,252232,0.10848295586585677,0.1109221899252876,0.08381044847151103,0.08296126312123056,0.08466870383476914,118534.05448093127
b7_or_gate,0.001,0.993439226519337,52128,0.10969662850074535,27669,252232,0.10848295586585677,0.1109221899252876,0.008983865912622548,0.008885486608878076,0.009083461566673699,110580.37109876395
b7_or_gate,0.0001,0.993439226519337,52128,0.10969662850074535,27669,252232,0.10848295586585677,0.1109221899252876,0.0009048952056649614,0.0008949061114808579,0.0009150096207234555,109785.0027605472
b7_gated,0.01,0.9917510742786986,52128,0.004955755019188684,1250,252232,0.004689141588153986,0.005237447686857279,0.669030353343253,0.6566764186710086,0.6811589009355998,14823.708211783784
b7_gated,0.001,0.9917510742786986,52128,0.004955755019188684,1250,252232,0.004689141588153986,0.005237447686857279,0.16688980619349356,0.15934402936208192,0.17472084477533698,5942.5503384481935
b7_gated,0.0001,0.9917510742786986,52128,0.004955755019188684,1250,252232,0.004689141588153986,0.005237447686857279,0.01962140501077399,0.018585694625900307,0.020713922404273496,5054.434551114634
