model,bucket,n,errors,rate_kind,rate,ci_lo,ci_hi
v0,legit_orig_small,2232,9,fpr,0.004032258064516129,0.0021228244575903724,0.007646024999365791
v0,phish_orig_small,2128,24,fnr,0.011278195488721804,0.007590528350729382,0.016727225838887708
v0,legit_tranco_tail,150000,2576,fpr,0.017173333333333332,0.016528120276378157,0.01784327678256223
v0,legit_phiusiil,100000,91,fpr,0.00091,0.000741308036648863,0.0011170365731846058
v0,phish_large,50000,528,fnr,0.01056,0.009700868624427055,0.011494334905695318
v1,legit_orig_small,2232,9,fpr,0.004032258064516129,0.0021228244575903724,0.007646024999365791
v1,phish_orig_small,2128,22,fnr,0.010338345864661654,0.006837139460727946,0.01560430271771533
v1,legit_tranco_tail,150000,2753,fpr,0.018353333333333333,0.017686290199906377,0.019045046419408573
v1,legit_phiusiil,100000,95,fpr,0.00095,0.0007772680656328421,0.0011610734710386854
v1,phish_large,50000,521,fnr,0.01042,0.009566769585915569,0.011348455455514047
v2,legit_orig_small,2232,12,fpr,0.005376344086021506,0.0030781587907358385,0.00937424391972451
v2,phish_orig_small,2128,21,fnr,0.009868421052631578,0.006463568336848847,0.015039717836007525
v2,legit_tranco_tail,150000,3662,fpr,0.024413333333333332,0.023644417579361712,0.025206608646622622
v2,legit_phiusiil,100000,148,fpr,0.00148,0.0012601188398166606,0.0017381819774591426
v2,phish_large,50000,492,fnr,0.00984,0.009011661629457988,0.010743652530244492
v3_cascade,legit_orig_small,2232,2,fpr,0.0008960573476702509,0.00024576050280238114,0.003261464695977353
v3_cascade,phish_orig_small,2128,22,fnr,0.010338345864661654,0.006837139460727946,0.01560430271771533
v3_cascade,legit_tranco_tail,150000,805,fpr,0.005366666666666666,0.005009383881470894,0.005749284581857314
v3_cascade,legit_phiusiil,100000,6,fpr,6e-05,2.749844367635483e-05,0.00013091147084836878
v3_cascade,phish_large,50000,427,fnr,0.00854,0.007770342928459983,0.009385170979095473
b7_or_gate,legit_orig_small,2232,108,fpr,0.04838709677419355,0.04023458752101714,0.05809151930157707
b7_or_gate,phish_orig_small,2128,16,fnr,0.007518796992481203,0.004633368991021557,0.01217913715390028
b7_or_gate,legit_tranco_tail,150000,24355,fpr,0.16236666666666666,0.16050899842360028,0.16424162849634383
b7_or_gate,legit_phiusiil,100000,3206,fpr,0.03206,0.030986001035900206,0.03316995034907138
b7_or_gate,phish_large,50000,326,fnr,0.00652,0.005851457914111208,0.007264366370877328
b7_gated,legit_orig_small,2232,2,fpr,0.0008960573476702509,0.00024576050280238114,0.003261464695977353
b7_gated,phish_orig_small,2128,22,fnr,0.010338345864661654,0.006837139460727946,0.01560430271771533
b7_gated,legit_tranco_tail,150000,1235,fpr,0.008233333333333334,0.007788458006078061,0.008703396959855022
b7_gated,legit_phiusiil,100000,13,fpr,0.00013,7.597682147262574e-05,0.0002224277150187004
b7_gated,phish_large,50000,408,fnr,0.00816,0.00740834759079536,0.008987224704594041
