model,bucket,n,errors,rate_kind,rate,ci_lo,ci_hi
v4,legit_orig_small,2232,2,fpr,0.0008960573476702509,0.00024576050280238114,0.003261464695977353
v4,phish_orig_small,2128,20,fnr,0.009398496240601503,0.006092268222656802,0.01447286194461266
v4,legit_tranco_tail,150000,0,fpr,0.0,0.0,2.5610010777217318e-05
v4,legit_phiusiil,100000,22,fpr,0.00022,0.00014529497492867178,0.0003331026469482862
v4,phish_large,50000,407,fnr,0.00814,0.007389306945959878,0.008966268422473413
v4ctrl,legit_orig_small,2232,7,fpr,0.0031362007168458782,0.0015199874555379134,0.006459826499082128
v4ctrl,phish_orig_small,2128,21,fnr,0.009868421052631578,0.006463568336848847,0.015039717836007525
v4ctrl,legit_tranco_tail,150000,3285,fpr,0.0219,0.02117148349798936,0.022653004794315815
v4ctrl,legit_phiusiil,100000,7,fpr,7e-05,3.390860494423725e-05,0.00014450054129000098
v4ctrl,phish_large,50000,379,fnr,0.00758,0.006856674462084979,0.008378986951577287
v5,legit_orig_small,2232,2,fpr,0.0008960573476702509,0.00024576050280238114,0.003261464695977353
v5,phish_orig_small,2128,20,fnr,0.009398496240601503,0.006092268222656802,0.01447286194461266
v5,legit_tranco_tail,150000,0,fpr,0.0,0.0,2.5610010777217318e-05
v5,legit_phiusiil,100000,18,fpr,0.00018,0.0001138655768661234,0.000284535118172776
v5,phish_large,50000,413,fnr,0.00826,0.0075035687220926985,0.009091988208077243
