model,bucket,n,errors,kind,rate,ci_lo,ci_hi
v4,legit_tail_bare,50000,0,fpr,0.0,0.0,7.682609729729246e-05
v4,legit_tail_mix,50000,32398,fpr,0.64796,0.6437623738363104,0.6521348917849773
v4,legit_tail_path,50000,50000,fpr,1.0,0.9999231739027028,1.0
v4,legit_phi_bare,50000,7,fpr,0.00014,6.781800868034618e-05,0.000288986577309703
v4,legit_phi_mix,50000,32399,fpr,0.64798,0.643782426606787,0.652154835941457
v4,legit_phi_path,50000,50000,fpr,1.0,0.9999231739027028,1.0
v4,phish_orig_small,2128,20,fnr,0.009398496240601503,0.006092268222656802,0.01447286194461266
v4,phish_large,50000,407,fnr,0.00814,0.007389306945959878,0.008966268422473413
v6,legit_tail_bare,50000,7,fpr,0.00014,6.781800868034618e-05,0.000288986577309703
v6,legit_tail_mix,50000,6907,fpr,0.13814,0.13514331956361844,0.1411922810195176
v6,legit_tail_path,50000,10813,fpr,0.21626,0.21267321798984953,0.21989037928384478
v6,legit_phi_bare,50000,35,fpr,0.0007,0.0005033868104101061,0.0009733317303509702
v6,legit_phi_mix,50000,4500,fpr,0.09,0.08752290356780239,0.09254009383198138
v6,legit_phi_path,50000,6980,fpr,0.1396,0.1365898450520521,0.14266553119887984
v6,phish_orig_small,2128,29,fnr,0.01362781954887218,0.00950517084578046,0.019503363371771165
v6,phish_large,50000,757,fnr,0.01514,0.01410630423486831,0.01624819556820282
