strategy,prevalence,tpr,fpr,precision,alerts_per_1e6_urls
cascade,0.01,0.9901315789473685,0.00044802867383512545,0.9571238075700071,10344.86417657046
cascade,0.001,0.9901315789473685,0.00044802867383512545,0.6886855118458927,1437.712224108659
cascade,0.0001,0.9901315789473685,0.00044802867383512545,0.1810122407806165,546.9970288624788
or_gate,0.01,0.9929511278195489,0.04838709677419355,0.17169360778588297,57832.7370846471
or_gate,0.001,0.9929511278195489,0.04838709677419355,0.020128070119911714,49331.660805238906
or_gate,0.0001,0.9929511278195489,0.04838709677419355,0.0020481009017766106,48481.55317729808
gated,0.01,0.9901315789473685,0.0008960573476702509,0.9177731877643356,10788.412563667234
gated,0.001,0.9901315789473685,0.0008960573476702509,0.5251871447064783,1885.2928692699493
gated,0.0001,0.9901315789473685,0.0008960573476702509,0.09951262171126304,994.9808998302207
and_gate,0.01,0.9915413533834586,0.016129032258064516,0.3830836447120284,25883.155469318455
and_gate,0.001,0.9915413533834586,0.016129032258064516,0.05796980713362745,17104.444579189912
and_gate,0.0001,0.9915413533834586,0.016129032258064516,0.006110602179712801,16226.573490177056
