model,train,test,auc
B1,PhiUSIIL,PhiUSIIL,0.997924
B1,PhiUSIIL,PhishTank+Tranco,0.7440975555555556
B2,PhiUSIIL,PhiUSIIL,0.9980608888888889
B2,PhiUSIIL,PhishTank+Tranco,0.8662740000000002
B3,PhiUSIIL,PhiUSIIL,0.9965791111111111
B3,PhiUSIIL,PhishTank+Tranco,0.5339522222222223
B4,PhiUSIIL,PhiUSIIL,0.9978728888888888
B4,PhiUSIIL,PhishTank+Tranco,0.8727284444444444
B5,PhiUSIIL,PhiUSIIL,0.9997462222222222
B5,PhiUSIIL,PhishTank+Tranco,0.8606897777777778
B1,PhishTank+Tranco,PhiUSIIL,0.669783111111111
B1,PhishTank+Tranco,PhishTank+Tranco,0.9989513333333333
B2,PhishTank+Tranco,PhiUSIIL,0.8029122222222222
B2,PhishTank+Tranco,PhishTank+Tranco,0.9986784444444444
B3,PhishTank+Tranco,PhiUSIIL,0.8375386666666667
B3,PhishTank+Tranco,PhishTank+Tranco,0.9969344444444446
B4,PhishTank+Tranco,PhiUSIIL,0.753402888888889
B4,PhishTank+Tranco,PhishTank+Tranco,0.998682
B5,PhishTank+Tranco,PhiUSIIL,0.8633808888888889
B5,PhishTank+Tranco,PhishTank+Tranco,0.9994391111111112
