model,train,in_dist,transfer,drop_pts
B1,PhiUSIIL,0.997924,0.7440975555555556,-25.382644444444445
B1,PhishTank+Tranco,0.9989513333333333,0.669783111111111,-32.91682222222223
B2,PhiUSIIL,0.9980608888888889,0.8662740000000002,-13.178688888888868
B2,PhishTank+Tranco,0.9986784444444444,0.8029122222222222,-19.576622222222216
B3,PhiUSIIL,0.9965791111111111,0.5339522222222223,-46.26268888888888
B3,PhishTank+Tranco,0.9969344444444446,0.8375386666666667,-15.939577777777792
B4,PhiUSIIL,0.9978728888888888,0.8727284444444444,-12.51444444444444
B4,PhishTank+Tranco,0.998682,0.753402888888889,-24.527911111111102
B5,PhiUSIIL,0.9997462222222222,0.8606897777777778,-13.905644444444443
B5,PhishTank+Tranco,0.9994391111111112,0.8633808888888889,-13.60582222222223
