url,domain,label,timestamp,source,age_bucket,whois_success,whois_registration_date,whois_expiry_date,whois_registrar_country,dns_a_record_count,dns_mx_record_present,dns_ns_record_count,dns_success,ssl_present,ssl_not_before,ssl_certificate_age_days,ssl_error,whois_error
https://docs.google.com/presentation/d/e/2PACX-1vRRmyJTmsqj5YGN3tha1LAq0jcPFv6bswP2kj34-1WXlQmrUVYag33q2QjLFx8hMp4hAPsDTOVRls4N/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,google.com,1,2024-07-30 22:01:58,PhishTank,old_submission,1,1997-09-15 04:00:00+00:00,2028-09-14 04:00:00+00:00,US,1,1,4,1,1,2026-06-29 08:37:35+00:00,36.0,,
https://bit.ly/3WhlH1W,bit.ly,1,2024-07-12 00:12:34,PhishTank,old_submission,1,2008-05-17 22:00:00+00:00,2032-05-17 22:00:00+00:00,,2,1,8,1,1,2026-02-24 00:00:00+00:00,161.0,,
https://qrco.de/bfPmxD,qrco.de,1,2024-09-23 18:46:44,PhishTank,old_submission,0,,,,4,0,4,1,1,2026-06-20 00:00:00+00:00,45.0,,
https://tr.ee/3EgI8dq8AR,tr.ee,1,2023-08-25 11:45:45,PhishTank,old_submission,1,2010-07-04 04:59:06+03:00,2030-12-09 00:00:00+00:00,,4,0,4,1,1,2026-08-01 02:32:57+00:00,3.0,,
https://lbmall.webwave.dev/,webwave.dev,1,2024-07-18 08:22:58,PhishTank,old_submission,0,,,,1,1,2,1,1,2026-06-11 12:39:40+00:00,54.0,,
https://new.express.adobe.com/webpage/KZH8OzClmfRnT,adobe.com,1,2024-03-22 10:28:36,PhishTank,old_submission,1,1986-11-17 05:00:00+00:00,2027-05-17 01:48:14+00:00,US,2,1,6,1,1,2026-01-05 00:00:00+00:00,211.0,,
https://caseid1005789345734958.web.app/,web.app,1,2022-11-05 01:37:52,PhishTank,old_submission,0,,,,1,0,4,1,1,2026-07-20 14:59:55+00:00,15.0,,
https://lihi3.cc/BOSZZ,lihi3.cc,1,2023-07-08 21:54:02,PhishTank,old_submission,1,2019-05-29 13:59:08+00:00,2027-05-29 13:59:08+00:00,TW,2,0,2,1,1,2026-07-27 09:17:47+00:00,8.0,,
https://ipfs.io/ipfs/QmSejSajLFEhYUHT6vZZrKKPKb9btajmRzJf5XTrv9kMA1,ipfs.io,1,2024-02-19 10:55:02,PhishTank,old_submission,1,2014-05-16 18:34:42+00:00,2027-05-16 18:34:42+00:00,,1,1,2,1,1,2026-07-23 21:18:42+00:00,11.0,,
http://43.159.37.67/v3/signin/identifier?dsh=S537610955%3A1680148823818694&amp%3Bfollowup=https%3A%2F%2Faccounts.google.com%2F%3F&amp%3Bifkv=AQMjQ7SkEnTGciUAF7o3YlAHo_vit_68qy_TWhg2YWUySApL1ISBtl0EN2NERiau9gmkNeODctul&amp%3Bpassive=1209600&amp%3Bxrealip=35.203.245.120&continue=https%3A%2F%2Faccounts.google.com%2F%3F&xrealip=107.21.207.171&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=AQMjQ7TOmN95pqLlfcPH3kvguDCXFGfDJZWVk9UFD4OxkswnwpbrVFkt6jMExqou4ukQk9SPRssJGg,43.159.37.67,1,2023-03-30 04:00:24,PhishTank,old_submission,0,,,,0,0,0,0,0,,,timed out,
https://l.ead.me/bfNi91,ead.me,1,2024-09-10 19:46:49,PhishTank,old_submission,1,2015-10-20 08:13:42+00:00,2026-10-20 08:13:42+00:00,,0,0,4,0,0,,,"[Errno 8] nodename nor servname provided, or not known",
https://onne.link/renneacessocliente?gclid=EAIaIQobChMI5bKb2NTm_AIVDtWRCh2aKgfAEAAYASAAEgL_I_D_BwE,onne.link,1,2023-01-27 11:14:47,PhishTank,old_submission,1,2018-12-18 15:43:51.438000+00:00,2026-12-18 15:43:51.438000+00:00,BR,2,1,2,1,1,2026-07-14 01:39:44+00:00,21.0,,
https://q-r.to/bfCVo9,q-r.to,1,2024-07-15 03:14:08,PhishTank,old_submission,1,2012-01-31 21:22:21+00:00,2032-01-31 21:22:21+00:00,,4,0,4,1,1,2026-06-20 00:00:00+00:00,45.0,,
https://vesrsionpluspropre.firebaseapp.com/,firebaseapp.com,1,2023-04-23 03:21:06,PhishTank,old_submission,1,2012-10-15 18:12:22+00:00,2026-10-15 18:12:22+00:00,US,1,0,4,1,1,2026-07-20 15:01:16+00:00,15.0,,
https://jamiesomers05.ac-page.com/bt-login01?test=true,ac-page.com,1,2024-05-26 07:43:59,PhishTank,old_submission,1,2020-06-25 19:51:56+00:00,2027-06-25 19:51:56+00:00,US,2,0,2,1,1,2026-06-15 16:04:35+00:00,49.0,,
https://pub-0d8e0c69d3d34567ab3eddaa8aedf1d0.r2.dev/index.html,r2.dev,1,2024-07-26 00:13:54,PhishTank,old_submission,0,,,,2,0,2,1,0,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1082),
https://8kn0o0.csb.app/nee.htm,csb.app,1,2024-08-04 06:05:13,PhishTank,old_submission,0,,,,2,1,2,1,1,2026-07-22 15:01:26+00:00,13.0,,
