model,regime,threshold,auc,tpr,fpr,fp,n_legit,precision_1e4,prec_ci_lo,prec_ci_hi
v7 (proposed),bare,0.5,0.9969139016666666,0.9876666666666667,0.0,0,30000,1.0,0.4354967941390918,0.9999999999999999
v7 (proposed),bare,0.741,0.9969139016666666,0.9865,0.0,0,30000,1.0,0.4352062505902352,0.9999999999999999
v7 (proposed),path,0.5,0.9974607633333333,0.9628333333333333,0.0003333333333333333,10,30000,0.2241319107662464,0.13565498286823768,0.3471681799132344
v7 (proposed),path,0.741,0.9974607633333333,0.9521,6.666666666666667e-05,2,30000,0.5881880521406068,0.28147263777675596,0.838925700853256
v7 (proposed),mixed,0.5,0.99696982,0.9712333333333333,0.00023333333333333333,7,30000,0.29392716634722077,0.16783389581888739,0.46217553965279495
v7 (proposed),mixed,0.741,0.99696982,0.9638666666666666,3.3333333333333335e-05,1,30000,0.7430553771039445,0.3379867532080537,0.9424715910575313
B1,bare,0.5,0.9932701194444445,0.981,0.013333333333333334,400,30000,0.007304487680657626,0.0066321365858103285,0.008045470066343777
B1,bare,0.741,0.9932701194444445,0.9778666666666667,0.0034666666666666665,104,30000,0.02743651518098972,0.02276377925351948,0.03304009183014068
B1,path,0.5,0.5564893666666666,1.0,1.0,30000,30000,0.0001,0.0001,0.00010001280405263605
B1,path,0.741,0.5564893666666666,1.0,1.0,30000,30000,0.0001,0.0001,0.00010001280405263605
B1,mixed,0.5,0.6711644433333334,0.9929666666666667,0.6563666666666667,19691,30000,0.00015127455400717912,0.0001500507929434181,0.00015252782032659676
B1,mixed,0.741,0.6711644433333334,0.9921,0.6528,19584,30000,0.00015196820422614982,0.00015072906190708766,0.00015323714897165762
B2,bare,0.5,0.9933801083333333,0.9835333333333334,0.022966666666666666,689,30000,0.004264601882084756,0.003962707326489542,0.004589974962207604
B2,bare,0.741,0.9933801083333333,0.9813666666666667,0.008133333333333333,244,30000,0.011923309480774523,0.01053896843064144,0.013488715141875598
B2,path,0.5,0.6388234377777777,1.0,1.0,30000,30000,0.0001,0.0001,0.00010001280405263605
B2,path,0.741,0.6388234377777777,1.0,1.0,30000,30000,0.0001,0.0001,0.00010001280405263605
B2,mixed,0.5,0.708689961111111,0.9939666666666667,0.6590333333333334,19771,30000,0.00015081424621139078,0.00014960143967974942,0.00015205634923982317
B2,mixed,0.741,0.708689961111111,0.9931666666666666,0.6542666666666667,19628,30000,0.00015179058867477555,0.000150556911054349,0.00015305396718181502
B3,bare,0.5,0.9930696311111111,0.9847,0.012266666666666667,368,30000,0.00796430902521937,0.007201620388779764,0.008808171620438399
B3,bare,0.741,0.9930696311111111,0.9832333333333333,0.0066,198,30000,0.014680244204570847,0.012803954538659968,0.016828917000333926
B3,path,0.5,0.41423047888888886,1.0,0.9999666666666667,29999,30000,0.0001000033331110926,0.00010000058834709216,0.00010001888278120454
B3,path,0.741,0.41423047888888886,1.0,0.9999666666666667,29999,30000,0.0001000033331110926,0.00010000058834709216,0.00010001888278120454
B3,mixed,0.5,0.5855650038888889,0.9945,0.6560333333333334,19681,30000,0.00015158508614925684,0.00015035790372345753,0.00015284184940229817
B3,mixed,0.741,0.5855650038888889,0.9942,0.6538333333333334,19615,30000,0.00015204918391936272,0.00015081221663740377,0.00015331592238839248
B4,bare,0.5,0.9931658244444445,0.9828666666666667,0.0205,615,30000,0.00477206920163894,0.004414985882629094,0.005158540812175747
B4,bare,0.741,0.9931658244444445,0.9812,0.007566666666666667,227,30000,0.012802663872662294,0.011265791839139078,0.014547946101109337
B4,path,0.5,0.6511432399999999,1.0,1.0,30000,30000,0.0001,0.0001,0.00010001280405263605
B4,path,0.741,0.6511432399999999,1.0,1.0,30000,30000,0.0001,0.0001,0.00010001280405263605
B4,mixed,0.5,0.7194074461111111,0.9937666666666667,0.6584,19752,30000,0.00015092892620531312,0.00014971348023305706,0.00015217371914285287
B4,mixed,0.741,0.7194074461111111,0.9930333333333333,0.6540666666666667,19622,30000,0.00015181661490593735,0.0001505821782595864,0.00015308076661181555
B5,bare,0.5,0.9952386788888888,0.9881333333333333,0.011366666666666667,341,30000,0.008619188248316593,0.0077635130519296686,0.009569477923119461
B5,bare,0.741,0.9952386788888888,0.9875,0.008166666666666666,245,30000,0.011948551654042546,0.010563995876398578,0.01351380109087035
B5,path,0.5,0.8105965761111111,1.0,1.0,30000,30000,0.0001,0.0001,0.00010001280405263605
B5,path,0.741,0.8105965761111111,1.0,1.0,30000,30000,0.0001,0.0001,0.00010001280405263605
B5,mixed,0.5,0.8319307522222221,0.996,0.6554,19662,30000,0.0001519603665393892,0.00015072841315374332,0.00015322200261687978
B5,mixed,0.741,0.8319307522222221,0.9958,0.6544,19632,30000,0.00015216198837059448,0.00015092565845526318,0.00015342808576054243
