model,prevalence,tpr,fpr,precision,alerts_per_1e6_urls,precision_ci_lo,precision_ci_hi,n_boot
B1,0.01,0.9882352941176472,0.0007843137254901,0.9271523178807948,10658.823529411764,0.8338175208740376,1.0,1000
B1,0.001,0.9882352941176472,0.0007843137254901,0.5577689243027889,1771.764705882353,0.332099028006991,1.0,1000
B1,0.0001,0.9882352941176472,0.0007843137254901,0.1119104716227018,883.0588235294117,0.0473269327479457,1.0,1000
B2,0.01,0.9901960784313726,0.0015686274509803,0.8644299897295447,11454.901960784317,0.7624176016265681,0.9629488281739926,1000
B2,0.001,0.9901960784313726,0.0015686274509803,0.38721055052906,2557.254901960784,0.2412836234602517,0.7203232049822077,1000
B2,0.0001,0.9901960784313726,0.0015686274509803,0.0593824228028503,1667.4901960784312,0.0307945022566008,0.2046599083515523,1000
B3,0.01,0.9909803921568628,0.0078431372549019,0.5606833814067007,17674.509803921566,0.4664058225768732,0.6814727534590795,1000
B3,0.001,0.9909803921568628,0.0078431372549019,0.1122761807437686,8826.274509803921,0.0797158246331123,0.1749293737696218,1000
B3,0.0001,0.9909803921568628,0.0078431372549019,0.0124785809873238,7941.450980392157,0.0085800371507758,0.0207432643908867,1000
B4,0.01,0.9894117647058824,0.0019607843137254,0.8359840954274355,11835.294117647058,0.7208035334344708,0.9619893275325608,1000
B4,0.001,0.9894117647058824,0.0019607843137254,0.3355945730247406,2948.235294117647,0.2037233071248066,0.7149405192656484,1000
B4,0.0001,0.9894117647058824,0.0019607843137254,0.0480406717696789,2059.529411764706,0.0249243561347036,0.2003699088075313,1000
B5,0.01,0.9918,0.0,1.0,9918.0,,,0
B5,0.001,0.9918,0.0,1.0,991.8,,,0
B5,0.0001,0.9918,0.0,1.0,99.18,,,0
