model,bucket,n,errors,rate_kind,rate,ci_lo,ci_hi
B1,legit_orig_small,2550,2,fpr,0.000784313725490196,0.00021510896639993045,0.0028554025328253936
B1,phish_orig_small,2550,30,fnr,0.011764705882352941,0.008253172160129984,0.01674508928255307
B1,legit_tranco_tail,150000,1493,fpr,0.009953333333333333,0.009463364454223437,0.010468402413272572
B1,legit_phiusiil,100000,39,fpr,0.00039,0.0002853207129292147,0.0005330638480094922
B1,phish_large,50000,570,fnr,0.0114,0.010506278817321898,0.012368795644957017
B2,legit_orig_small,2550,4,fpr,0.001568627450980392,0.000610162542385401,0.004026616809944046
B2,phish_orig_small,2550,25,fnr,0.00980392156862745,0.00664942945872255,0.014433162351200195
B2,legit_tranco_tail,150000,2196,fpr,0.01464,0.014044485931695223,0.015260374217966433
B2,legit_phiusiil,100000,90,fpr,0.0009,0.0007323317190310907,0.0011060136590928635
B2,phish_large,50000,541,fnr,0.01082,0.009950015512738091,0.011765148067813688
B3,legit_orig_small,2550,1,fpr,0.000392156862745098,6.922688932994663e-05,0.0022181506833433154
B3,phish_orig_small,2550,25,fnr,0.00980392156862745,0.00664942945872255,0.014433162351200195
B3,legit_tranco_tail,150000,1204,fpr,0.008026666666666666,0.0075875230626614686,0.008491009155409401
B3,legit_phiusiil,100000,287,fpr,0.00287,0.0025569856396573634,0.0032212083852409764
B3,phish_large,50000,482,fnr,0.00964,0.008820419056292267,0.010534925833849131
B4,legit_orig_small,2550,5,fpr,0.00196078431372549,0.0008377992767104748,0.004582114002171034
B4,phish_orig_small,2550,27,fnr,0.010588235294117647,0.007287026431617847,0.015361833231409019
B4,legit_tranco_tail,150000,2365,fpr,0.015766666666666665,0.015148534813189063,0.016409600961914975
B4,legit_phiusiil,100000,104,fpr,0.00104,0.0008584761505332562,0.0012598584715239026
B4,phish_large,50000,559,fnr,0.01118,0.010295207450555644,0.012139900815206084
B5,legit_orig_small,2550,0,fpr,0.0,0.0,0.0015042436461212005
B5,phish_orig_small,2550,21,fnr,0.00823529411764706,0.005392699586228766,0.012557356517485732
B5,legit_tranco_tail,150000,1687,fpr,0.011246666666666667,0.010725381637723226,0.01179298565187824
B5,legit_phiusiil,100000,9,fpr,9e-05,4.7350897487850665e-05,0.0001710567121654169
B5,phish_large,50000,391,fnr,0.00782,0.007084823427583187,0.008630801109552375
