feature,mean_abs_shap,mean_shap_phishing,mean_shap_legit,share_pct
num_subdomains,2.429432,2.4935737,-1.8282341,18.675714
num_dots,1.7217872,2.3777173,-0.57772267,13.235853
path_length,1.6990126,1.2733088,-1.579499,13.06078
entropy_url,0.8806622,0.68746185,-0.53515744,6.769893
avg_token_length,0.7074492,0.27639976,-0.17771891,5.4383574
special_ratio,0.6643675,0.050968576,-0.06735782,5.1071763
has_https,0.6394999,1.0829881,-0.11638798,4.9160123
tld_length,0.61669636,0.55767035,-0.061433177,4.7407155
num_slashes,0.4615554,0.48293543,0.054040432,3.548104
entropy_hostname,0.42565793,-0.32762873,0.0031878937,3.27215
longest_word_length,0.4246672,0.21573125,-0.2114632,3.264534
hostname_length,0.41209546,0.47821477,-0.20185421,3.1678915
tld_is_common,0.38041797,0.041216876,-0.18442757,2.924378
letter_ratio,0.3751589,0.105029605,-0.22906214,2.88395
url_length,0.29256392,0.24970074,-0.1818871,2.2490196
digit_ratio,0.21161622,0.16331336,-0.09435478,1.6267524
query_length,0.20888814,0.0397674,-0.04831226,1.6057808
num_digits,0.20104612,-0.11722643,-0.108859405,1.5454972
num_hyphens,0.077739686,0.050684128,-0.012709496,0.5976065
num_brand_tokens,0.0602005,-0.07168404,0.015119848,0.46277785
num_suspicious_tokens,0.053945597,0.036105536,-0.000844323,0.4146947
is_shortener,0.039470784,0.019119572,-0.028071113,0.3034228
num_underscores,0.013318496,0.015431264,-0.0051951185,0.10238296
num_equal,0.007441035,0.0064141587,-0.0009540841,0.057201292
num_params,0.0038181464,0.003449828,0.00020821393,0.029351147
brand_in_subdomain,0.0,0.0,0.0,0.0
has_port,0.0,0.0,0.0,0.0
num_at,0.0,0.0,0.0,0.0
has_ip_literal,0.0,0.0,0.0,0.0
num_ampersand,0.0,0.0,0.0,0.0
num_percent,0.0,0.0,0.0,0.0
num_question,0.0,0.0,0.0,0.0
fragment_length,0.0,0.0,0.0,0.0
