feature,mean_abs_shap,share_pct
has_https,2.0088303,21.327114
path_length,1.4924362,15.844722
entropy_hostname,0.6355261,6.7471795
avg_token_length,0.5505513,5.8450284
special_ratio,0.5328344,5.656934
longest_word_length,0.45676944,4.849376
tld_length,0.40098515,4.257132
hostname_length,0.37013626,3.929619
tld_is_common,0.36431482,3.867815
num_dots,0.33761758,3.5843785
entropy_url,0.28230438,2.9971359
num_subdomains,0.26951227,2.8613262
num_hyphens,0.24627604,2.6146345
num_digits,0.22904885,2.4317389
num_slashes,0.20033805,2.1269257
url_length,0.1497963,1.5903399
num_equal,0.13516554,1.4350097
query_length,0.13362904,1.4186971
letter_ratio,0.13057828,1.3863082
digit_ratio,0.108110614,1.1477761
num_suspicious_tokens,0.09544919,1.0133537
num_brand_tokens,0.066770114,0.7088771
num_question,0.0516818,0.5486893
is_shortener,0.0495825,0.5264017
num_underscores,0.044586975,0.47336578
num_at,0.031937167,0.33906677
num_ampersand,0.028108012,0.29841384
num_percent,0.01101947,0.116990216
fragment_length,0.005241589,0.055648286
num_params,0.0,0.0
has_ip_literal,0.0,0.0
has_port,0.0,0.0
brand_in_subdomain,0.0,0.0
