,stab_score
path_length,0.3703181294212545
num_slashes,0.3791614150011535
url_length,0.8049026439164733
num_subdomains,0.9739830078834788
hostname_length,1.0129867678464206
num_dots,1.0325508434940107
num_digits,1.1024093896741516
entropy_hostname,1.224863378965222
entropy_url,1.279096944591727
digit_ratio,1.5151096882593513
letter_ratio,1.9959882963760802
num_hyphens,2.627050443830405
longest_word_length,2.757242294406778
special_ratio,3.9724910757610212
avg_token_length,4.234373651443904
tld_length,17.113659166575722
has_https,271.1512941134573
query_length,1229.0227044594017
fragment_length,4657586.381803269
tld_is_common,32499070.8098821
num_suspicious_tokens,3163593755.0875635
num_brand_tokens,6277307124.07535
num_at,63944244111.4195
num_underscores,65400442391.20536
num_equal,72152486766.67917
num_params,81607049795.48059
num_question,192418424547.24854
brand_in_subdomain,255776976451.0941
num_ampersand,298208914823.2938
is_shortener,55099802888316.016
num_percent,495898225994844.25
has_ip_literal,2.281771080410812e+33
has_port,2.281771080410812e+33
