test,0.5 (published),0.741 (tuned),delta_vs_baseline_@0.5
E2_contemporary,0.844,0.837,-0.128
E2_older,0.883,0.874,-0.08899999999999997
baseline,0.972,0.9715,0.0
homoglyph,0.987,0.9855,0.015000000000000013
hyphenated_brand_insertion,0.9915,0.9905,0.019500000000000073
path_padding,1.0,1.0,0.028000000000000025
percent_encoding,0.989,0.988,0.017000000000000015
shortener_wrap,0.998,0.9955,0.026000000000000023
subdomain_padding,0.9955,0.994,0.023500000000000076
tld_swap,0.9715,0.9685,-0.0004999999999999449
