model,regime,prevalence,threshold,tpr,fpr,fp,n_legit,n_phish,precision,precision_ci_lo,precision_ci_hi
v7 (proposed),bare,0.01,0.7409999966621399,0.97152,0.00015,15,100000,50000,0.9849447975911677,0.9754000503332009,0.9908213953516671
v7 (proposed),bare,0.001,0.7409999966621399,0.97152,0.00015,15,100000,50000,0.866368816715268,0.7971325829040594,0.9145127500887219
v7 (proposed),bare,0.0001,0.7409999966621399,0.97152,0.00015,15,100000,50000,0.39310989451195083,0.2819079390942456,0.5166285105302477
v7 (proposed),mixed,0.01,0.7409999966621399,0.97152,0.00041,41,100000,50000,0.9598956635148352,0.9463690514455405,0.9701194764394758
v7 (proposed),mixed,0.001,0.7409999966621399,0.97152,0.00041,41,100000,50000,0.7034341942350718,0.6361913597559009,0.7628877823163792
v7 (proposed),mixed,0.0001,0.7409999966621399,0.97152,0.00041,41,100000,50000,0.19157935836532833,0.14872779251995225,0.24325645448640756
v7 @0.5 (untuned),bare,0.01,0.5,0.97738,0.00044,44,100000,50000,0.9573334378122124,0.9435559582594996,0.9678636965058655
v7 @0.5 (untuned),bare,0.001,0.5,0.97738,0.00044,44,100000,50000,0.6897822067271726,0.6235798789983945,0.7490345815841382
v7 @0.5 (untuned),bare,0.0001,0.5,0.97738,0.00044,44,100000,50000,0.18177253233251628,0.14200761024511294,0.22969829250460766
v7 @0.5 (untuned),mixed,0.01,0.5,0.97738,0.00128,128,100000,50000,0.8852277873381035,0.8664584748197691,0.9016618842927915
v7 @0.5 (untuned),mixed,0.001,0.5,0.97738,0.00128,128,100000,50000,0.433216612738797,0.3913518738114204,0.47606654661116043
v7 @0.5 (untuned),mixed,0.0001,0.5,0.97738,0.00128,128,100000,50000,0.07094751054362265,0.06036291405792455,0.08322665374110787
B1,bare,0.01,0.5,0.98814,0.0045,450,100000,50000,0.6892525320164059,0.669183103741828,0.7086424759591753
B1,bare,0.001,0.5,0.98814,0.0045,450,100000,50000,0.18019782480250346,0.16698575312433128,0.19421754342789
B1,bare,0.0001,0.5,0.98814,0.0045,450,100000,50000,0.021488946938519875,0.019634680999938318,0.023515008567138874
B1,mixed,0.01,0.5,0.98814,0.64958,64958,100000,50000,0.015133109615575461,0.015065695836189153,0.015201395470586495
B1,mixed,0.001,0.5,0.98814,0.64958,64958,100000,50000,0.0015204058797766906,0.0015135397034129938,0.001527361740183502
B1,mixed,0.0001,0.5,0.98814,0.64958,64958,100000,50000,0.00015211190322886214,0.00015142402642203664,0.0001528087735685704
B2,bare,0.01,0.5,0.98962,0.00902,902,100000,50000,0.5256666312546479,0.5094544295137555,0.5418344382006564
B2,bare,0.001,0.5,0.98962,0.00902,902,100000,50000,0.09895606263624183,0.09331512877722026,0.10490214861547958
B2,bare,0.0001,0.5,0.98962,0.00902,902,100000,50000,0.010853405219970039,0.010177982976032666,0.011573564619280717
B2,mixed,0.01,0.5,0.98962,0.65121,65121,100000,50000,0.015118070877815736,0.015050964516768607,0.015186046333005666
B2,mixed,0.001,0.5,0.98962,0.65121,65121,100000,50000,0.0015188740925635904,0.001512039412970378,0.0015257981422647474
B2,mixed,0.0001,0.5,0.98962,0.65121,65121,100000,50000,0.00015195844285919322,0.00015127372337678165,0.00015265212431960987
B3,bare,0.01,0.5,0.99084,0.00551,551,100000,50000,0.6449395637655972,0.6256603675794568,0.6637680280075613
B3,bare,0.001,0.5,0.99084,0.00551,551,100000,50000,0.15254652188572407,0.14209582662023984,0.1636244995059855
B3,bare,0.0001,0.5,0.99084,0.00551,551,100000,50000,0.01766665186778789,0.016278840764848857,0.01917119393069965
B3,mixed,0.01,0.5,0.99084,0.64975,64975,100000,50000,0.015169922143226884,0.01510237217182188,0.015238346032025726
B3,mixed,0.001,0.5,0.99084,0.64975,64975,100000,50000,0.001524155637942984,0.0015172751284479975,0.001531126028617609
B3,mixed,0.0001,0.5,0.99084,0.64975,64975,100000,50000,0.00015248757029852204,0.00015179825289954465,0.00015318590107732798
B4,bare,0.01,0.5,0.98952,0.00906,906,100000,50000,0.5245380235997582,0.5083595179785498,0.5406747274461089
B4,bare,0.001,0.5,0.98952,0.00906,906,100000,50000,0.09855325353619256,0.09294512029801678,0.10446439476027697
B4,bare,0.0001,0.5,0.98952,0.00906,906,100000,50000,0.01080492498072187,0.010133941262675297,0.011520255973090067
B4,mixed,0.01,0.5,0.98952,0.65118,65118,100000,50000,0.015117252202002128,0.01505014497884389,0.015185228512704402
B4,mixed,0.001,0.5,0.98952,0.65118,65118,100000,50000,0.001518790706643807,0.0015119559494720795,0.0015257148331386645
B4,mixed,0.0001,0.5,0.98952,0.65118,65118,100000,50000,0.0001519500889472812,0.00015126536179578488,0.00015264377799700096
B5,bare,0.01,0.5,0.99302,0.00434,434,100000,50000,0.6979925211572524,0.6778551917058268,0.7174036512139433
B5,bare,0.001,0.5,0.99302,0.00434,434,100000,50000,0.18635384372865327,0.1725441788412811,0.20100645835740508
B5,bare,0.0001,0.5,0.99302,0.00434,434,100000,50000,0.022371018917435707,0.02040842351825851,0.024518544205707135
B5,mixed,0.01,0.5,0.99302,0.6496,64960,100000,50000,0.015206248003550199,0.015138516402803321,0.015274855757755699
B5,mixed,0.001,0.5,0.99302,0.6496,64960,100000,50000,0.001527856070917681,0.001520956604334263,0.0015348456570952016
B5,mixed,0.0001,0.5,0.99302,0.6496,64960,100000,50000,0.00015285829824556908,0.0001521670770494183,0.00015355855681512592
